cityName,urbanStatus,stateCode,stateName,districtCode,districtName
Jalaun,M.B.,9,Uttar Pradesh,35,Jalaun 
Jalda,C.T.,21,Orissa,5,Sundargarh
Jalesar,M.B.,9,Uttar Pradesh,17,Etah
Jaleswar,N.A.C.,21,Orissa,8,Baleshwar
Jalgaon,M.Cl.,27,Maharashtra,3,Jalgaon
Jalgaon,C.T.,27,Maharashtra,32,Ratnagiri
Jalgaon (Jamod),M.Cl.,27,Maharashtra,4,Buldana
Jalladiampet,C.T.,33,Tamil Nadu,3,Kancheepuram
Jallaram Kamanpur,C.T.,28,Andhra Pradesh,3,Karimnagar
Jalna,M.Cl.,27,Maharashtra,18,Jalna
Jalor,M,8,Rajasthan,18,Jalor
Jalpaiguri,M,19,West Bengal,2,Jalpaiguri 
Jam Jodhpur,M,24,Gujarat,10,Jamnagar
Jamadoba,C.T.,20,Jharkhand,12,Dhanbad
Jamai,M,23,Madhya Pradesh,43,Chhindwara
Jamalpur,M,10,Bihar,24,Munger
Jambai,T.P.,33,Tamil Nadu,10,Erode
Jambusar,M,24,Gujarat,21,Bharuch
Jamhaur,N.A.,10,Bihar,34,Aurangabad
Jamkhandi,T.M.C,29,Karnataka,2,Bagalkot
Jamkhed,C.T.,27,Maharashtra,26,Ahmadnagar
Jammalamadugu,C.T.,28,Andhra Pradesh,20,Cuddapah
Jammu,M.C.,1,Jammu & Kashmir,13,Jammu
Jammu Cantonment,C.B.,1,Jammu & Kashmir,13,Jammu
Jamnagar,M.Corp.,24,Gujarat,10,Jamnagar
Jamshedpur,N.A.,20,Jharkhand,18,Purbi Singhbhum
Jamshila,C.T.,9,Uttar Pradesh,70,Sonbhadra
Jamtara,N.A.,20,Jharkhand,11,Dumka
Jamui,M,10,Bihar,37,Jamui
Jamul,N.P.,22,Chhattisgarh,10,Durg
Jamuria,M,19,West Bengal,9,Barddhaman 
Janakpur Road,N.A.,10,Bihar,4,Sitamarhi
Jandiala,M.Cl.,3,Punjab,2,Amritsar
Jandiala,N.P.,3,Punjab,4,Jalandhar
Jangaon,N.P.,28,Andhra Pradesh,9,Warangal
Jangipur,M,19,West Bengal,7,Murshidabad 
Jangipur,N.P.,9,Uttar Pradesh,65,Ghazipur
Jansath,N.P.,9,Uttar Pradesh,2,Muzaffarnagar
Jaora,M,23,Madhya Pradesh,20,Ratlam
Jaridih Bazar,C.T.,20,Jharkhand,13,Bokaro
Jarjapupeta,C.T.,28,Andhra Pradesh,12,Vizianagaram
Jarwal,N.P.,9,Uttar Pradesh,50,Bahraich
Jasdan,M,24,Gujarat,9,Rajkot
Jashpur nagar,N.P.,22,Chhattisgarh,3,Jashpur
Jasidih,N.A.,20,Jharkhand,7,Deoghar
Jaspur,M.B.,5,Uttaranchal,12,Udham Singh Nagar
Jasrana,N.P.,9,Uttar Pradesh,16,Firozabad
Jaswantnagar,M.B.,9,Uttar Pradesh,31,Etawah
Jata Chhapar,C.T.,23,Madhya Pradesh,43,Chhindwara
Jatani,M,21,Orissa,17,Khordha
Jatara,N.P.,23,Madhya Pradesh,8,Tikamgarh
Jatari,N.P.,9,Uttar Pradesh,12,Aligarh
Jaunpur,M.B.,9,Uttar Pradesh,64,Jaunpur
Jawad,N.P.,23,Madhya Pradesh,18,Neemuch
Jawaharnagar (Gujarat Refinery),I.N.A.,24,Gujarat,19,Vadodara
Jawai,M.B.,17,Meghalaya,7,Jaintia Hills
Jawalamukhi,N.P.,2,Himachal Pradesh,2,Kangra
Jawar,N.P.,23,Madhya Pradesh,33,Sehore
Jawhar,M.Cl.,27,Maharashtra,21,Thane
Jayankondam,T.P.,33,Tamil Nadu,17,Ariyalur
Jaygaon,C.T.,19,West Bengal,2,Jalpaiguri 
Jaynagar Mazilpur,M,19,West Bengal,18,South Twentyfour Parganas
Jaysingpur,M.Cl.,27,Maharashtra,34,Kolhapur
Jehanabad,M,10,Bihar,33,Jehanabad 
Jejuri,M.Cl.,27,Maharashtra,25,Pune
Jemari,C.T.,19,West Bengal,9,Barddhaman 
